高雄市[ 高雄市 ]　出生與死亡統計,,,,,,,,,,,,,
年月,性別,人口數,嬰兒出生總數,,,,,生母國籍(地區),,遺腹子,雙胞胎,三胞胎以上,死亡人數
,,,合計,婚生,非婚生,,"棄嬰或
無依兒童","大陸港澳
地區",外籍國,,,,
,,,,,已認領,未認領,,,,,,,
97年01月,計,1520926,1027,985,17,25,0,56,40,0,23,3,743
97年01月,男,756665,554,536,8,10,0,36,23,0,9,1,476
97年01月,女,764261,473,449,9,15,0,20,17,0,14,2,267
97年02月,計,1521445,915,869,21,25,0,46,36,1,11,0,782
97年02月,男,756818,487,462,12,13,0,30,18,1,3,0,483
97年02月,女,764627,428,407,9,12,0,16,18,0,8,0,299
97年03月,計,1521757,947,899,13,35,0,42,51,0,27,0,878
97年03月,男,756862,497,472,8,17,0,23,31,0,16,0,530
97年03月,女,764895,450,427,5,18,0,19,20,0,11,0,348
97年04月,計,1522343,934,897,18,18,1,51,31,0,13,0,749
97年04月,男,756938,499,481,8,9,1,30,17,0,8,0,474
97年04月,女,765405,435,416,10,9,0,21,14,0,5,0,275
97年05月,計,1522656,885,847,15,22,1,39,35,0,18,0,726
97年05月,男,756987,486,464,9,12,1,16,15,0,15,0,431
97年05月,女,765669,399,383,6,10,0,23,20,0,3,0,295
97年06月,計,1523317,826,795,9,22,0,35,32,0,21,0,676
97年06月,男,757133,428,415,3,10,0,15,18,0,11,0,405
97年06月,女,766184,398,380,6,12,0,20,14,0,10,0,271
97年07月,計,1523649,907,877,16,14,0,40,35,0,21,0,776
97年07月,男,757127,462,450,7,5,0,23,16,0,8,0,475
97年07月,女,766522,445,427,9,9,0,17,19,0,13,0,301
97年08月,計,1523889,854,809,20,21,4,39,37,0,14,3,731
97年08月,男,757016,430,411,9,8,2,17,18,0,5,2,444
97年08月,女,766873,424,398,11,13,2,22,19,0,9,1,287
97年09月,計,1523874,990,962,16,12,0,52,37,0,30,0,763
97年09月,男,756873,514,500,8,6,0,29,20,0,14,0,472
97年09月,女,767001,476,462,8,6,0,23,17,0,16,0,291
97年10月,計,1524341,1098,1051,22,24,1,44,39,1,23,3,764
97年10月,男,756897,567,544,11,11,1,20,16,0,9,2,454
97年10月,女,767444,531,507,11,13,0,24,23,1,14,1,310
97年11月,計,1524996,1219,1173,21,25,0,50,45,0,50,0,636
97年11月,男,757086,608,590,8,10,0,30,24,0,23,0,387
97年11月,女,767910,611,583,13,15,0,20,21,0,27,0,249
97年12月,計,1525642,984,941,18,25,0,37,44,0,20,0,859
97年12月,男,757220,507,485,10,12,0,19,20,0,10,0,533
97年12月,女,768422,477,456,8,13,0,18,24,0,10,0,326
98年01月,計,1525996,765,739,12,14,0,35,25,0,36,0,565
98年01月,男,757199,430,418,5,7,0,19,14,0,22,0,356
98年01月,女,768797,335,321,7,7,0,16,11,0,14,0,209
98年02月,計,1526128,983,940,16,26,1,40,34,0,33,0,1083
98年02月,男,756958,486,473,6,7,0,22,22,0,17,0,672
98年02月,女,769170,497,467,10,19,1,18,12,0,16,0,411
98年03月,計,1526594,1186,1141,15,30,0,53,43,1,23,3,747
98年03月,男,756996,624,601,9,14,0,27,20,0,13,2,474
98年03月,女,769598,562,540,6,16,0,26,23,1,10,1,273
98年04月,計,1526208,600,574,13,13,0,36,18,0,10,0,736
98年04月,男,756624,301,290,5,6,0,18,12,0,5,0,444
98年04月,女,769584,299,284,8,7,0,18,6,0,5,0,292
98年05月,計,1526320,748,711,23,13,1,33,26,1,26,0,644
98年05月,男,756477,393,378,9,6,0,18,11,0,16,0,402
98年05月,女,769843,355,333,14,7,1,15,15,1,10,0,242
98年06月,計,1526420,916,883,16,17,0,32,21,0,26,0,812
98年06月,男,756320,464,454,5,5,0,15,11,0,14,0,486
98年06月,女,770100,452,429,11,12,0,17,10,0,12,0,326
98年07月,計,1526921,1013,976,16,21,0,48,36,0,31,3,721
98年07月,男,756394,545,526,8,11,0,23,15,0,15,2,441
98年07月,女,770527,468,450,8,10,0,25,21,0,16,1,280
98年08月,計,1526840,815,761,20,34,0,35,30,0,28,0,783
98年08月,男,756146,402,374,13,15,0,18,14,0,14,0,484
98年08月,女,770694,413,387,7,19,0,17,16,0,14,0,299
98年09月,計,1526797,976,933,23,20,0,39,28,0,32,1,738
98年09月,男,755867,496,474,11,11,0,19,14,0,19,0,454
98年09月,女,770930,480,459,12,9,0,20,14,0,13,1,284
98年10月,計,1527142,1053,1009,17,27,0,28,36,0,25,0,763
98年10月,男,755711,514,496,11,7,0,14,24,0,17,0,480
98年10月,女,771431,539,513,6,20,0,14,12,0,8,0,283
98年11月,計,1527439,1011,974,21,16,0,33,37,1,26,0,751
98年11月,男,755658,495,473,14,8,0,18,15,0,13,0,442
98年11月,女,771781,516,501,7,8,0,15,22,1,13,0,309
98年12月,計,1527914,1050,1008,21,20,1,47,26,0,30,0,777
98年12月,男,755649,540,518,13,9,0,18,13,0,18,0,487
98年12月,女,772265,510,490,8,11,1,29,13,0,12,0,290
99年01月,計,1528206,974,936,14,24,0,45,29,0,26,0,768
99年01月,男,755630,529,509,7,13,0,27,18,0,13,0,462
99年01月,女,772576,445,427,7,11,0,18,11,0,13,0,306
99年02月,計,1528261,757,720,19,18,0,28,17,0,24,0,703
99年02月,男,755460,390,372,6,12,0,15,10,0,13,0,437
99年02月,女,772801,367,348,13,6,0,13,7,0,11,0,266
99年03月,計,1528306,995,949,24,22,0,56,34,0,27,3,869
99年03月,男,755297,531,509,9,13,0,27,24,0,17,3,538
99年03月,女,773009,464,440,15,9,0,29,10,0,10,0,331
99年04月,計,1528430,829,778,26,25,0,35,31,0,28,0,769
99年04月,男,755167,445,423,12,10,0,17,20,0,19,0,447
99年04月,女,773263,384,355,14,15,0,18,11,0,9,0,322
99年05月,計,1528386,839,791,30,18,0,33,29,0,20,0,675
99年05月,男,754985,448,418,21,9,0,15,13,0,12,0,413
99年05月,女,773401,391,373,9,9,0,18,16,0,8,0,262
99年06月,計,1528127,811,767,23,21,0,27,19,0,28,3,704
99年06月,男,754751,417,395,10,12,0,17,15,0,15,0,415
99年06月,女,773376,394,372,13,9,0,10,4,0,13,3,289
99年07月,計,1529049,802,763,17,22,0,32,23,1,29,0,759
99年07月,男,755013,406,382,10,14,0,10,11,0,15,0,449
99年07月,女,774036,396,381,7,8,0,22,12,1,14,0,310
99年08月,計,1529415,895,865,18,12,0,38,27,0,21,3,839
99年08月,男,754984,476,466,8,2,0,24,16,0,11,2,530
99年08月,女,774431,419,399,10,10,0,14,11,0,10,1,309
99年09月,計,1529445,933,889,28,16,0,42,27,0,36,0,776
99年09月,男,754813,455,433,16,6,0,25,16,0,21,0,492
99年09月,女,774632,478,456,12,10,0,17,11,0,15,0,284
99年10月,計,1529719,954,915,19,20,0,28,28,0,30,0,741
99年10月,男,754749,506,485,10,11,0,10,15,0,21,0,444
99年10月,女,774970,448,430,9,9,0,18,13,0,9,0,297
99年11月,計,1530182,1019,966,19,34,0,33,18,1,29,0,748
99年11月,男,754837,524,493,10,21,0,16,9,0,15,0,458
99年11月,女,775345,495,473,9,13,0,17,9,1,14,0,290
99年12月,計,2773483,1731,1651,42,38,0,66,50,0,48,3,1643
99年12月,男,1390927,900,853,22,25,0,41,24,0,20,2,985
99年12月,女,1382556,831,798,20,13,0,25,26,0,28,1,658
100年01月,計,2773433,1575,1508,28,39,0,64,63,0,66,0,1750
100年01月,男,1390604,800,765,13,22,0,35,36,0,27,0,1103
100年01月,女,1382829,775,743,15,17,0,29,27,0,39,0,647
100年02月,計,2772929,1354,1303,22,29,0,56,42,0,40,0,1527
100年02月,男,1390167,714,692,8,14,0,32,21,0,22,0,924
100年02月,女,1382762,640,611,14,15,0,24,21,0,18,0,603
100年03月,計,2772834,1973,1892,32,49,0,74,68,2,70,0,1878
100年03月,男,1389882,1034,993,18,23,0,40,36,0,42,0,1157
100年03月,女,1382952,939,899,14,26,0,34,32,2,28,0,721
100年04月,計,2772981,1599,1540,26,33,0,66,48,1,54,0,1576
100年04月,男,1389663,844,819,14,11,0,34,23,0,28,0,1017
100年04月,女,1383318,755,721,12,22,0,32,25,1,26,0,559
100年05月,計,2772850,1720,1649,29,42,0,70,53,1,61,0,1645
100年05月,男,1389423,906,867,15,24,0,35,29,0,34,0,1018
100年05月,女,1383427,814,782,14,18,0,35,24,1,27,0,627
100年06月,計,2772461,1682,1609,33,40,0,72,48,0,75,0,1564
100年06月,男,1388972,864,827,18,19,0,30,23,0,31,0,980
100年06月,女,1383489,818,782,15,21,0,42,25,0,44,0,584
100年07月,計,2772647,1731,1644,40,47,0,77,53,0,38,0,1391
100年07月,男,1388859,891,846,21,24,0,44,19,0,17,0,859
100年07月,女,1383788,840,798,19,23,0,33,34,0,21,0,532
100年08月,計,2772838,1818,1738,30,50,0,73,45,0,60,0,1555
100年08月,男,1388742,943,906,14,23,0,37,28,0,34,0,982
100年08月,女,1384096,875,832,16,27,0,36,17,0,26,0,573
100年09月,計,2773157,2023,1933,37,53,0,61,47,2,69,3,1464
100年09月,男,1388639,1085,1040,19,26,0,29,22,0,35,3,925
100年09月,女,1384518,938,893,18,27,0,32,25,2,34,0,539
100年10月,計,2773526,1929,1855,33,41,0,67,58,0,56,0,1469
100年10月,男,1388598,1016,977,19,20,0,39,25,0,28,0,936
100年10月,女,1384928,913,878,14,21,0,28,33,0,28,0,533
100年11月,計,2773855,1969,1897,29,43,0,71,60,1,46,3,1469
100年11月,男,1388493,1023,985,16,22,0,34,35,1,27,3,935
100年11月,女,1385362,946,912,13,21,0,37,25,0,19,0,534
100年12月,計,2774470,2038,1954,43,40,1,63,49,1,71,5,1557
100年12月,男,1388530,1037,998,23,15,1,35,23,0,38,2,975
100年12月,女,1385940,1001,956,20,25,0,28,26,1,33,3,582
101年01月,計,2774925,1726,1657,31,38,0,86,78,0,59,3,1576
101年01月,男,1388542,885,849,13,23,0,37,39,0,33,1,991
101年01月,女,1386383,841,808,18,15,0,49,39,0,26,2,585
101年02月,計,2774831,1904,1827,37,40,0,62,56,0,58,6,1756
101年02月,男,1388254,996,960,21,15,0,34,33,0,33,3,1082
101年02月,女,1386577,908,867,16,25,0,28,23,0,25,3,674
101年03月,計,2774586,2072,1991,27,54,0,76,58,0,74,0,1720
101年03月,男,1387840,1051,1009,12,30,0,40,33,0,36,0,1076
101年03月,女,1386746,1021,982,15,24,0,36,25,0,38,0,644
101年04月,計,2774649,1918,1860,22,36,0,87,66,2,93,0,1604
101年04月,男,1387633,989,954,14,21,0,42,44,1,52,0,987
101年04月,女,1387016,929,906,8,15,0,45,22,1,41,0,617
101年05月,計,2774730,1926,1853,31,42,0,90,46,0,75,0,1643
101年05月,男,1387515,1030,990,18,22,0,46,29,0,42,0,1026
101年05月,女,1387215,896,863,13,20,0,44,17,0,33,0,617
101年06月,計,2775482,2181,2088,38,55,0,76,60,0,94,0,1421
101年06月,男,1387701,1159,1109,19,31,0,45,25,0,57,0,860
101年06月,女,1387781,1022,979,19,24,0,31,35,0,37,0,561
101年07月,計,2775734,1842,1763,35,44,0,87,61,1,78,0,1634
101年07月,男,1387586,979,939,19,21,0,43,29,1,39,0,1049
101年07月,女,1388148,863,824,16,23,0,44,32,0,39,0,585
101年08月,計,2776204,2104,2021,41,42,0,81,70,0,74,1,1589
101年08月,男,1387643,1064,1019,24,21,0,44,44,0,34,0,974
101年08月,女,1388561,1040,1002,17,21,0,37,26,0,40,1,615
101年09月,計,2776550,2058,1978,37,43,0,93,51,0,63,0,1519
101年09月,男,1387596,1050,1002,21,27,0,44,25,0,25,0,941
101年09月,女,1388954,1008,976,16,16,0,49,26,0,38,0,578
101年10月,計,2777128,2574,2460,48,66,0,108,71,0,81,3,1618
101年10月,男,1387672,1347,1289,22,36,0,55,39,0,54,3,992
101年10月,女,1389456,1227,1171,26,30,0,53,32,0,27,0,626
101年11月,計,2777897,2358,2261,48,49,0,81,63,1,66,12,1480
